영화명,영화명_영어,장르,개봉일,극장관객수,극장매출,Netflix,최고순위,TOP10유지일수,1위유지일수
서울의 봄,12.12: The Day,드라마,2023-11-22,"13,128,080","127,926,951,712",True,1,84,14
파묘,Exhuma,미스터리,2024-02-22,"11,913,725","115,148,478,414",True,1,91,21
범죄도시4,The Roundup: Punishment,액션,2024-04-24,"11,501,621","110,038,420,734",False,0,0,0
범죄도시3,The Roundup: No Way Out,범죄,2023-05-31,"10,682,813","104,687,737,771",False,0,0,0
인사이드 아웃 2,Inside Out 2,애니메이션,2024-06-12,"8,799,013","84,509,284,036",False,0,0,0
베테랑2,"I, the Executioner",액션,2024-09-13,"7,525,339","72,474,035,814",True,1,63,7
엘리멘탈,Elemental,애니메이션,2023-06-14,"7,239,288","71,129,945,066",False,0,0,0
아바타: 불과 재,Avatar: Fire and Ash,SF,2025-12-17,"6,744,610","78,912,610,960",False,0,0,0
주토피아 2,Zootopia 2,애니메이션,2025-11-26,"6,504,574","62,727,690,490",False,0,0,0
좀비딸,My Daughter Is a Zombie,코미디,2025-07-30,"5,640,423","53,139,332,990",False,0,0,0
극장판 귀멸의 칼날: 무한성편,Demon Slayer: Kimetsu no Yaiba Infinity Castle,애니메이션,2025-08-22,"5,588,011","60,271,624,740",False,0,0,0
F1 더 무비,F1,드라마,2025-06-25,"5,213,527","54,928,849,030",False,0,0,0
밀수,Smugglers,액션,2023-07-26,"5,143,219","49,685,009,003",False,0,0,0
하얼빈,Harbin,드라마,2024-12-24,"4,914,963","46,978,947,380",True,1,35,7
더 퍼스트 슬램덩크,The First Slam Dunk,애니메이션,2023-01-04,"4,897,590","51,249,971,605",True,4,14,0
파일럿,Pilot,코미디,2024-07-31,"4,718,036","43,204,079,201",True,1,84,21
노량: 죽음의 바다,Noryang: Deadly Sea,사극,2023-12-20,"4,573,398","45,008,260,375",True,1,28,7
가디언즈 오브 갤럭시: Volume 3,Guardians of the Galaxy Vol. 3,액션,2023-05-03,"4,208,993","44,355,754,061",False,0,0,0
소방관,Firefighters,드라마,2024-12-04,"3,851,772","36,248,498,170",True,1,21,7
콘크리트 유토피아,Concrete Utopia,드라마,2023-08-09,"3,847,066","37,388,022,232",True,1,49,7
모아나 2,Moana 2,애니메이션,2024-11-27,"3,550,048","32,794,295,730",False,0,0,0
아바타: 물의 길,Avatar: The Way of Water,액션,2022-12-14,"3,491,916","47,350,863,697",False,0,0,0
야당,Yadang: The Snitch,범죄,2025-04-16,"3,377,887","31,999,779,430",True,1,56,14
어쩔수가없다,No Other Choice,스릴러,2025-09-24,"2,942,758","28,768,679,430",True,1,42,7
히트맨2,Hitman 2,코미디,2025-01-22,"2,547,448","23,983,159,200",True,3,14,0
탈주,Escape,액션,2024-07-03,"2,547,035","24,102,444,596",True,1,70,14
보스,Boss,코미디,2025-10-03,"2,432,734","23,347,951,550",False,0,0,0
위키드,Wicked,판타지,2024-11-20,"2,244,536","22,168,795,550",True,9,7,0
30일,Love Reset,코미디,2023-10-03,"2,146,902","21,079,830,749",False,0,0,0
승부,The Match,드라마,2025-03-26,"2,146,284","20,042,357,660",True,1,70,7
에이리언: 로물루스,Alien: Romulus,공포(호러),2024-08-14,"2,002,033","20,443,955,430",False,0,0,0
휴민트,Humint,액션,2026-02-11,"1,980,978","19,983,573,360",True,1,77,14
데드풀과 울버린,Deadpool & Wolverine,액션,2024-07-24,"1,977,010","20,489,875,630",False,0,0,0
존 윅 4,John Wick: Chapter 4,액션,2023-04-12,"1,923,520","19,935,436,129",True,4,14,0
천박사 퇴마 연구소: 설경의 비밀,Dr. Cheon and the Lost Talisman,판타지,2023-09-27,"1,916,429","18,635,492,555",True,1,42,7
하이파이브,Hi-Five,코미디,2025-05-30,"1,893,622","17,545,718,020",False,0,0,0
영웅,Hero,드라마,2022-12-21,"1,786,092","17,759,190,427",True,2,14,0
핸섬가이즈,Handsome Guys,코미디,2024-06-26,"1,774,398","16,579,544,601",False,0,0,0
하이재킹,Hijack 1971,범죄,2024-06-21,"1,773,716","16,840,813,086",False,0,0,0
베놈: 라스트 댄스,Venom: The Last Dance,액션,2024-10-23,"1,764,011","17,256,631,588",True,2,21,0
교섭,The Point Men,드라마,2023-01-18,"1,721,100","17,460,908,740",True,1,35,14
시민덕희,Citizen of a Kind,드라마,2024-01-24,"1,715,064","16,174,180,097",True,1,63,14
노이즈,Noise,공포(호러),2025-06-25,"1,707,629","16,758,897,410",True,2,14,0
캡틴 아메리카: 브레이브 뉴 월드,Captain America: Brave New World,액션,2025-02-12,"1,654,160","16,372,717,086",False,0,0,0
슈퍼배드 4,Despicable Me 4,애니메이션,2024-07-24,"1,562,001","14,202,093,607",True,5,21,0
앤트맨과 와스프: 퀀텀매니아,Ant-Man and the Wasp: Quantumania,액션,2023-02-15,"1,551,129","16,346,738,806",False,0,0,0
잠,Sleep,미스터리,2023-09-06,"1,462,621","13,817,855,033",True,2,21,0
외계+인 2부,Alienoid: Return to the Future,기타,2024-01-10,"1,430,121","13,792,326,337",True,2,21,0
위시,Irish Wish,애니메이션,2024-01-03,"1,403,386","13,379,469,253",True,2,14,0
달짝지근해: 7510,Honeysweet,코미디,2023-08-15,"1,388,309","13,445,519,901",False,0,0,0
킹 오브 킹스,The King of Kings,애니메이션,2025-07-16,"1,316,551","12,410,915,626",False,0,0,0
그녀가 죽었다,Following,미스터리,2024-05-15,"1,236,662","11,805,001,596",True,1,28,14
사랑의 하츄핑,Heartsping : Teenieping of Love,애니메이션,2024-08-07,"1,228,442","10,983,756,542",True,2,14,0
드림,Dream,코미디,2023-04-26,"1,128,080","10,818,979,597",True,1,42,14
얼굴,The Ugly,미스터리,2025-09-11,"1,076,611","11,012,986,870",True,1,49,14
전지적 독자 시점,Omniscient Reader: The Prophecy,판타지,2025-07-23,"1,061,137","10,053,493,360",True,1,42,7
1947 보스톤,Road to Boston,드라마,2023-09-27,"1,026,929","9,464,438,798",True,9,7,0
비공식작전,Ransomed,드라마,2023-08-02,"1,015,453","9,781,885,404",True,1,49,7
댓글부대,Troll Factory,범죄,2024-03-27,"972,991","9,240,359,711",True,1,35,7
극장판 진격의 거인 완결편 더 라스트 어택,Attack on Titan: THE LAST ATTACK,애니메이션,2025-03-13,"949,711","9,776,272,070",False,0,0,0
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,New Dimension! Crayon Shin-chan the Movie: Battle of Supernatural Powers ~Flying Sushi~,애니메이션,2023-12-22,"945,457","9,142,532,236",False,0,0,0
썬더볼츠＊,Thunderbolts*,액션,2025-04-30,"922,453","9,282,314,460",False,0,0,0
글래디에이터 Ⅱ,Gladiator II,액션,2024-11-13,"909,714","8,873,550,140",True,3,14,0
혹성탈출: 새로운 시대,Kingdom of the Planet of the Apes,액션,2024-05-08,"907,155","9,177,184,782",False,0,0,0
대도시의 사랑법,Love in the Big City,드라마,2024-10-01,"870,056","8,215,778,030",True,1,63,14
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",Even If This Love Disappears Tonight,멜로/로맨스,2025-12-24,"861,581","8,348,588,090",True,1,28,14
인디아나 존스: 운명의 다이얼,Indiana Jones and the Dial of Destiny,어드벤처,2023-06-28,"860,424","8,503,653,466",False,0,0,0
무파사: 라이온 킹,Mufasa: The Lion King,애니메이션,2024-12-18,"852,334","8,362,423,310",False,0,0,0
말할 수 없는 비밀,Secret: Untold Melody,판타지,2025-01-27,"824,156","7,859,549,300",False,0,0,0
청설,Hear Me: Our Summer,드라마,2024-11-06,"800,982","7,472,963,310",True,8,7,0
거룩한 밤: 데몬 헌터스,Holy Night: Demon Hunters,액션,2025-04-30,"777,649","7,205,989,400",True,1,35,7
신명,The Pact,드라마,2025-06-02,"775,407","7,359,521,780",True,1,14,7
호퍼스,Hoppers,애니메이션,2026-03-04,"763,965","7,528,617,010",False,0,0,0
대외비,The Devil's Deal,범죄,2023-03-01,"752,559","7,433,002,721",True,2,14,0
극장판 하이큐!! 쓰레기장의 결전,HAIKYU!! The Dumpster Battle,애니메이션,2024-05-15,"744,645","7,635,268,967",True,8,7,0
명탐정 코난: 척안의 잔상,Detective Conan: One-Eyed Flashback,애니메이션,2025-07-16,"739,385","7,276,851,240",False,0,0,0
행복의 나라,Land of Happiness,드라마,2024-08-14,"710,327","6,561,260,142",True,4,14,0
더 마블스,The Marvels,액션,2023-11-08,"690,814","6,841,156,465",False,0,0,0
탈출: 프로젝트 사일런스,Project Silence,스릴러,2024-07-12,"687,918","6,704,394,362",True,1,35,7
리바운드,Rebound,드라마,2023-04-05,"686,293","6,585,399,348",True,1,35,7
귀공자,The Childe,액션,2023-06-21,"682,742","6,703,071,465",True,4,28,0
와일드 로봇,The Wild Robot,애니메이션,2024-10-01,"673,737","6,096,775,545",False,0,0,0
유령,Phantom,드라마,2023-01-18,"664,146","6,760,765,879",True,1,21,7
보통의 가족,A Normal Family,드라마,2024-10-16,"649,895","6,043,915,570",False,0,0,0
인어공주,The Little Mermaid,뮤지컬,2023-05-24,"647,706","6,668,613,190",False,0,0,0
원더랜드,Wonderland,드라마,2024-06-05,"620,992","5,873,441,710",True,2,21,0
엘리오,Elio,애니메이션,2025-06-18,"615,812","5,625,275,750",False,0,0,0
아마존 활명수,Amazon Bullseye,코미디,2024-10-30,"606,612","5,390,831,280",True,1,42,7
판타스틱 4: 새로운 출발,The Fantastic 4: First Steps,액션,2025-07-24,"590,759","6,387,300,290",False,0,0,0
콰이어트 플레이스: 첫째 날,A Quiet Place: Day One,스릴러,2024-06-26,"552,619","5,381,760,525",True,3,14,0
윗집 사람들,The People Upstairs,드라마,2025-12-03,"540,298","5,217,047,460",True,1,35,7
3일의 휴가,Our Season,판타지,2023-12-06,"525,427","4,921,168,917",True,2,35,0
설계자,The Plot,범죄,2024-05-29,"525,369","4,728,639,867",False,0,0,0
빅토리,Victory,드라마,2024-08-14,"508,220","4,544,420,767",False,0,0,0
극장판 짱구는 못말려: 초화려! 작열하는 떡잎마을 댄서즈,Crayon Shin-chan the Movie: Super Hot! The Spicy Kasukabe Dancers,애니메이션,2025-12-24,"488,704","4,642,672,160",False,0,0,0
더 문,The Moon,SF,2023-08-02,"486,060","4,893,985,038",True,5,21,0
릴로 & 스티치,Lilo & Stitch,애니메이션,2025-05-21,"485,125","4,573,953,310",False,0,0,0
소년들,The Boys,드라마,2023-11-01,"452,858","4,303,729,586",True,3,35,0
악마가 이사왔다,Pretty Crazy,미스터리,2025-08-13,"437,666","4,136,550,810",True,1,42,7
타겟,Don't Buy the Seller,스릴러,2023-08-30,"424,916","4,003,424,694",True,1,35,14
보고타: 마지막 기회의 땅,Bogotá: City of the Lost,범죄,2024-12-31,"422,366","3,899,557,760",True,1,28,7
서치 2,Missing,미스터리,2023-02-22,"414,598","4,084,323,024",True,2,21,0
싱글 인 서울,Single in Seoul,멜로/로맨스,2023-11-29,"400,651","3,748,567,012",True,4,21,0
스위치,Switch,기타,2023-01-04,"399,162","3,793,820,810",True,2,42,0
카운트,Countdown,드라마,2023-02-22,"397,303","3,772,828,091",False,0,0,0
뽀로로 극장판 바닷속 대모험,Pororo: Underwater Adventure,애니메이션,2025-01-01,"397,084","3,372,780,820",True,6,28,0
뽀로로 극장판 슈퍼스타 대모험,Pororo: Popstar Adventure,애니메이션,2023-12-13,"387,485","3,532,753,203",False,0,0,0
살인자 리포트,Murderer Report,드라마,2025-09-05,"365,400","3,648,247,360",False,0,0,0
28년 후,28 Years Later,공포(호러),2025-06-19,"362,321","3,250,361,960",True,2,28,0
트랜스포머 ONE,Transformers One,애니메이션,2024-09-25,"360,891","3,368,873,455",False,0,0,0
상견니,Someday or One Day,드라마,2023-01-25,"360,873","3,608,720,638",False,0,0,0
임영웅│아임 히어로 더 스타디움,LIM YOUNG WOONG│IM HERO THE STADIUM,공연,2024-08-28,"357,858","10,117,142,500",True,2,147,0
도그데이즈,Dog Days,드라마,2024-02-07,"357,393","3,478,441,608",True,1,21,7
대가족,About Family,드라마,2024-12-11,"346,477","3,026,116,800",True,1,63,14
발레리나,Ballerina,액션,2025-08-06,"319,425","3,182,923,670",True,1,77,21
웅남이,Woongnami,코미디,2023-03-22,"314,152","2,867,713,071",False,0,0,0
거미집,Cobweb,코미디,2023-09-27,"313,686","3,003,379,576",True,2,14,0
1승,One Win,드라마,2024-12-04,"308,943","2,685,227,430",False,0,0,0
룩백,Look Back,애니메이션,2024-09-05,"299,096","2,872,719,878",False,0,0,0
극장판 스파이 패밀리 코드 : 화이트,SPY x FAMILY CODE: White,애니메이션,2024-03-20,"282,867","2,818,845,965",True,9,7,0
브레드이발소: 베이커리타운의 악당들,Bread Barbershop: The Bakerytown Baddies,애니메이션,2025-09-27,"282,480","2,494,627,600",True,2,21,0
넘버원,Number One,드라마,2026-02-11,"279,958","2,681,906,020",True,1,28,14
용감한 시민,Brave Citizen,액션,2023-10-25,"266,816","2,445,021,472",False,0,0,0
뽀로로 극장판 스위트캐슬 대모험,Pororo: Sweet Castle Adventure,애니메이션,2025-12-11,"265,505","2,301,821,710",False,0,0,0
화란,Hopeless,드라마,2023-10-11,"263,087","2,505,690,490",True,1,21,14
"안녕, 할부지",My Dearest Fu Bao,다큐멘터리,2024-09-04,"260,333","2,396,503,239",False,0,0,0
로비,Lobby,드라마,2025-04-02,"257,760","2,426,172,740",True,6,7,0
크리에이터,The Creator,SF,2023-10-03,"256,803","2,710,714,272",True,4,14,0
옥수역귀신,The Ghost Station,공포(호러),2023-04-19,"256,196","2,741,672,100",True,3,14,0
하트맨,Heartman: Rock and Love,코미디,2026-01-14,"247,887","2,305,660,270",True,2,14,0
데드맨,Dead Man,범죄,2024-02-07,"236,661","2,257,546,704",False,0,0,0
소울메이트,Soulmate,드라마,2023-03-15,"231,257","2,236,460,069",False,0,0,0
나폴레옹,Napoleon,전쟁,2023-12-06,"227,354","2,250,902,673",False,0,0,0
베니스 유령 살인사건,A Haunting in Venice,범죄,2023-09-13,"205,102","2,004,013,347",False,0,0,0
사흘,Devils Stay,공포(호러),2024-11-14,"200,490","1,878,697,640",True,2,14,0
브로큰,Nocturnal,범죄,2025-02-05,"196,833","1,821,830,700",True,1,91,28
멍뭉이,My Heart Puppy,드라마,2023-03-01,"194,391","1,812,783,386",True,6,7,0
킬링 로맨스,Killing Romance,코미디,2023-04-14,"191,542","1,832,316,642",False,0,0,0
백설공주,Snow White,판타지,2025-03-19,"190,530","1,786,010,770",False,0,0,0
더 폴: 디렉터스 컷,The Fall,드라마,2024-12-25,"188,441","1,945,862,300",False,0,0,0
브레드이발소: 셀럽 인 베이커리타운,Bread Barbershop: Celeb in Bakery Town,애니메이션,2024-03-01,"183,479","1,556,568,690",True,7,21,0
오멘: 저주의 시작,The First Omen,공포(호러),2024-04-03,"180,448","1,857,073,182",False,0,0,0
극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,Pokémon: Lucario and the Mystery of Mew,애니메이션,2025-01-22,"180,261","1,593,814,180",False,0,0,0
트론: 아레스,TRON: Ares,SF,2025-10-08,"172,267","1,899,878,820",False,0,0,0
동화지만 청불입니다,Forbidden Fairytale,코미디,2025-01-08,"168,500","1,564,238,340",True,4,14,0
플라워 킬링 문,Killers of the Flower Moon,범죄,2023-10-19,"166,226","1,573,261,909",False,0,0,0
마루이 비디오,Marui Video,미스터리,2023-02-22,"165,822","1,704,980,000",True,7,14,0
"그 시절, 우리가 좋아했던 소녀",You Are the Apple of My Eye,멜로/로맨스,2025-02-21,"164,767","1,469,638,000",True,7,7,0
"포켓몬스터: 성도지방 이야기, 최종장",Pokémon: Stories from the Johto Region - The Final Chapter,애니메이션,2024-05-01,"157,303","1,385,194,057",False,0,0,0
극장판 엉덩이 탐정: 미스터리 가면 ~최강의 대결,Butt Detective the Movie: Shiriarty,애니메이션,2023-09-28,"141,025","1,278,771,994",False,0,0,0
프로젝트 Y,Project Y,범죄,2026-01-21,"140,808","1,374,381,060",True,1,21,14
